GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BULL - Bean Transformer,com.hotels.beans.transformer,AbstractBeanTransformer,0,105,0,6,0,31,0,14,0,11
BULL - Bean Transformer,com.hotels.beans.transformer,TransformerImpl,7,835,3,73,0,160,2,78,0,42
BULL - Bean Transformer,com.hotels.beans,BeanUtils,0,37,0,0,0,7,0,8,0,8
BULL - Bean Transformer,com.hotels.beans.populator,ArrayPopulator,2,51,2,4,0,8,2,5,0,4
BULL - Bean Transformer,com.hotels.beans.populator,CollectionPopulator,2,64,1,5,0,12,1,6,0,4
BULL - Bean Transformer,com.hotels.beans.populator,PopulatorFactory,0,48,1,9,0,10,1,5,0,1
BULL - Bean Transformer,com.hotels.beans.populator,Populator,0,75,0,2,0,14,0,7,0,6
BULL - Bean Transformer,com.hotels.beans.populator,MapPopulator,0,125,0,14,0,23,0,14,0,7
BULL - Bean Transformer,com.hotels.beans.populator,OptionalPopulator,0,28,0,4,0,9,0,4,0,2
